Comunidades y Ciudades Autónomas;Nacionalidad;Periodo;Total
18 Ceuta;Ambas nacionalidades;2007;15,24
18 Ceuta;Ambas nacionalidades;2006;14,2
18 Ceuta;Ambas nacionalidades;2005;14,75
18 Ceuta;Ambas nacionalidades;2004;14,82
18 Ceuta;Ambas nacionalidades;2003;14,26
18 Ceuta;Ambas nacionalidades;2002;14,44
18 Ceuta;Española;2024;7,17
18 Ceuta;Española;2023;7,02
18 Ceuta;Española;2022;7,87
18 Ceuta;Española;2021;7,53
18 Ceuta;Española;2020;8,2
18 Ceuta;Española;2019;8,4
18 Ceuta;Española;2018;9,4
18 Ceuta;Española;2017;10,35
18 Ceuta;Española;2016;10,74
18 Ceuta;Española;2015;11,23
18 Ceuta;Española;2014;12,42
18 Ceuta;Española;2013;11,07
18 Ceuta;Española;2012;11,96
18 Ceuta;Española;2011;12,19
18 Ceuta;Española;2010;12,5
18 Ceuta;Española;2009;12,58
18 Ceuta;Española;2008;13,06
18 Ceuta;Española;2007;13,62
18 Ceuta;Española;2006;12,79
18 Ceuta;Española;2005;13,48
18 Ceuta;Española;2004;13,23
18 Ceuta;Española;2003;13,12
18 Ceuta;Española;2002;13,08
18 Ceuta;Extranjera;2024;24,08
18 Ceuta;Extranjera;2023;27,06
18 Ceuta;Extranjera;2022;22,96
18 Ceuta;Extranjera;2021;24,76
18 Ceuta;Extranjera;2020;34,94
18 Ceuta;Extranjera;2019;31,19
18 Ceuta;Extranjera;2018;40,16
18 Ceuta;Extranjera;2017;39,72
18 Ceuta;Extranjera;2016;39,38
18 Ceuta;Extranjera;2015;40,67
18 Ceuta;Extranjera;2014;43,6
18 Ceuta;Extranjera;2013;38,25
18 Ceuta;Extranjera;2012;33
18 Ceuta;Extranjera;2011;41,19
18 Ceuta;Extranjera;2010;52,47
18 Ceuta;Extranjera;2009;56,74
18 Ceuta;Extranjera;2008;63,58
18 Ceuta;Extranjera;2007;50,34
18 Ceuta;Extranjera;2006;44,68
18 Ceuta;Extranjera;2005;43,8
18 Ceuta;Extranjera;2004;49,76
18 Ceuta;Extranjera;2003;38,97
18 Ceuta;Extranjera;2002;43,29
19 Melilla;Ambas nacionalidades;2024;9,19
19 Melilla;Ambas nacionalidades;2023;8,99
19 Melilla;Ambas nacionalidades;2022;10,49
19 Melilla;Ambas nacionalidades;2021;10,89
19 Melilla;Ambas nacionalidades;2020;11,11
19 Melilla;Ambas nacionalidades;2019;14,32
19 Melilla;Ambas nacionalidades;2018;15,55
19 Melilla;Ambas nacionalidades;2017;15,6
19 Melilla;Ambas nacionalidades;2016;17,02
19 Melilla;Ambas nacionalidades;2015;17,71
19 Melilla;Ambas nacionalidades;2014;19,25
19 Melilla;Ambas nacionalidades;2013;18
19 Melilla;Ambas nacionalidades;2012;18,33
19 Melilla;Ambas nacionalidades;2011;18,15
19 Melilla;Ambas nacionalidades;2010;17,55
19 Melilla;Ambas nacionalidades;2009;17,09
19 Melilla;Ambas nacionalidades;2008;17,34
19 Melilla;Ambas nacionalidades;2007;15,87
19 Melilla;Ambas nacionalidades;2006;16,52
19 Melilla;Ambas nacionalidades;2005;15,25
19 Melilla;Ambas nacionalidades;2004;15,39
19 Melilla;Ambas nacionalidades;2003;17,04
19 Melilla;Ambas nacionalidades;2002;16,02
19 Melilla;Española;2024;7,54
19 Melilla;Española;2023;7,42
19 Melilla;Española;2022;8,43
19 Melilla;Española;2021;8,84
19 Melilla;Española;2020;8,4
19 Melilla;Española;2019;9,63
19 Melilla;Española;2018;10,65
19 Melilla;Española;2017;9,85
19 Melilla;Española;2016;11,07
19 Melilla;Española;2015;11,33
19 Melilla;Española;2014;12,71
19 Melilla;Española;2013;12,35
19 Melilla;Española;2012;11,92
19 Melilla;Española;2011;12,4
19 Melilla;Española;2010;12,37
19 Melilla;Española;2009;12,23
19 Melilla;Española;2008;12,43
19 Melilla;Española;2007;11,33
19 Melilla;Española;2006;11,72
19 Melilla;Española;2005;11,1
19 Melilla;Española;2004;11,57
19 Melilla;Española;2003;12,1
19 Melilla;Española;2002;11,92
19 Melilla;Extranjera;2024;19,83
19 Melilla;Extranjera;2023;19,42
19 Melilla;Extranjera;2022;23,97
19 Melilla;Extranjera;2021;23,6
19 Melilla;Extranjera;2020;26,86
19 Melilla;Extranjera;2019;41,2
19 Melilla;Extranjera;2018;43,89
19 Melilla;Extranjera;2017;49,11
19 Melilla;Extranjera;2016;52,71
19 Melilla;Extranjera;2015;56,9
19 Melilla;Extranjera;2014;61,05
19 Melilla;Extranjera;2013;52,16
19 Melilla;Extranjera;2012;56,76
19 Melilla;Extranjera;2011;55,62
19 Melilla;Extranjera;2010;53,44
19 Melilla;Extranjera;2009;53,11
19 Melilla;Extranjera;2008;57,11
19 Melilla;Extranjera;2007;56,76
19 Melilla;Extranjera;2006;66,33
19 Melilla;Extranjera;2005;64,04
19 Melilla;Extranjera;2004;69,46
19 Melilla;Extranjera;2003;72,98
19 Melilla;Extranjera;2002;54,43
